country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
United States of America,"Based on Cabernet Sauvignon, this Bordeaux blend remains tough and tannic at more than four years of age. It's huge in blackberry, dark chocolate, currant, cassis and oak flavors, but that mouth-numbing astringency shuts it down. Clearly meant for cellaring, it should begin to come into its own by 2017.",The Puzzle,92,100,California,Napa Valley,Newton 2009 The Puzzle Red (Napa Valley),Bordeaux-style Red Blend,Newton,2009,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,50,14.5,750,Red,not_imported
Chile,"Initially this is minerally on the nose but not overly fruity, with notes of grass and green bean. The palate is fairly crisp despite being round and mouthfilling. Flavors of papaya, grapefruit and green banana finish with controlled pithy bitterness.",Nimbus Single Vineyard,87,15,Casablanca Valley,,Vina Casablanca 2014 Nimbus Single Vineyard Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Viña Casablanca,2014,"Casablanca Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-33.320586,-71.410076,268,40,13.8,750,White,Carolina Wine Brands USA
United States of America,"Candied red and purple fruit meets mocha and cola spice on the nose of this bottling, which is approachable and simple. The palate is tart with cranberry and plum skin flavors, lifted by dried ginger spice.",Goodchild Vineyard,87,30,California,Santa Barbara County,Steele 2013 Goodchild Vineyard Pinot Noir (Santa Barbara County),Pinot Noir,Steele,2013,"Santa Barbara County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,34.713653,-119.985823,934,36,14.5,750,Red,not_imported
United States of America,"The core fruit flavor is pretty strawberry, with a root beer aspect often found in Oregon Pinots. There is a bit of an empty spot in the center, then a finish with light tannins and a dash of pepper.",Estate Vineyard,88,35,Oregon,Willamette Valley,Amity 2009 Estate Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity,2009,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,39,13.5,750,Red,not_imported
Australia,"It's hard to believe such a wine can come from the Barossa, a region known for size and richness. But this is part of a new wave of Aussie Shiraz—medium in body and silky in style, with moderate alcohol levels. Healthy doses of oak impart notes of hickory smoke, cedar and vanilla to the plum fruit. Drink now–2025.",Breechens,91,18,South Australia,Barossa,Maverick 2014 Breechens Shiraz (Barossa),Shiraz,Maverick,2014,"Barossa,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-34.581713,138.998787,506,58,12.8,750,Red,Cannon Wines Limited
United States of America,"A dry, soft and exceptionally pure Zinfandel. With a light, silky texture, it offers plenty of jammy raspberry, cherry, currant, cola, vanilla and cinnamon spice flavors.",Redemption Zin,87,25,California,Dry Creek Valley,Alexander Valley Vineyards 2006 Redemption Zin Zinfandel (Dry Creek Valley),Zinfandel,Alexander Valley Vineyards,2006,"Dry Creek Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,26,14.8,750,Red,not_imported
United States of America,"Already showing some signs of age in its slightly browning rim, this Cab boasts scents of eucalyptus, vanilla, cinnamon and red cherries, but it's all overly delicate-almost lacy. There's just not enough there to score higher despite its charms.",,83,15,New York,North Fork of Long Island,Palmer 1998 Cabernet Sauvignon (North Fork of Long Island),Cabernet Sauvignon,Palmer,1998,"North Fork of Long Island,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,39,12.5,750,Red,not_imported
Portugal,"While the Arinto is normally found further south in Lisboa, this wine comes from vines that have the same ocean influence. That keeps it fresh even through the oak aging, so the wine is both rich, toasty and cut with attractive citrus acidity. This one is still young and will be better from 2017, although it is ready to drink now.",Marquês de Marialva Reserva,88,12,Bairrada,,Adega de Cantanhede 2014 Marques de Marialva Reserva Arinto (Bairrada),Arinto,Adega de Cantanhede,2014,"Bairrada,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,39.646249,-8.241342,134,61,13,750,White,Aidil Wines/Old World Import
United States of America,"This old vines Pinot has an unusual strength of flavor. It's easily the most powerful of Lynmar's new Pinots, with deep, brooding cherry and red currant flavors that have been concentrated to syrupy intensity like a boiled-down fruit-wine sauce. It's impressive, but intensely rich. Give it 5–6 years to see if things change.",Quail Hill Vineyard Old Vines,89,70,California,Russian River Valley,Lynmar 2011 Quail Hill Vineyard Old Vines Pinot Noir (Russian River Valley),Pinot Noir,Lynmar,2011,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,53,14.3,750,Red,not_imported
United States of America,"Generous black-cherry fruit anchors this barrel-aged wine that remains tartly acidic, with pretty accents of toast and mocha. Focused, young and fresh, it should drink optimally 2018–2028.",Aeolian,91,42,Oregon,Eola-Amity Hills,Bethel Heights 2013 Aeolian Pinot Noir (Eola-Amity Hills),Pinot Noir,Bethel Heights,2013,"Eola-Amity Hills,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,27,12.7,750,Red,not_imported
United States of America,"One of Harney Lane's signature whites, this wine is clean, crisp and inviting. Tight acidity and an almost savory air gives it austerity. With a backbone of lemon and lime, it'll pair delightfully with oysters, oysters and more oysters, preferably drizzled in vinegar and lemon, with a plate of chorizo not far behind.",,88,19,California,Lodi,Harney Lane 2011 Albarino (Lodi),Albariño,Harney Lane,2011,"Lodi,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.097198,-121.38785,1,53,13,750,White,not_imported
United States of America,"Tastes young and aggressive now, with black currant and oak flavors and hard tannins. But there's something rich and interesting, a depth and complexity that suggest time in the cellar. Give it a good six years, and try again.",Argent,89,40,California,Napa Valley,Penche 2006 Argent Red (Napa Valley),Bordeaux-style Red Blend,Penché,2006,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,39,14.8,750,Red,not_imported
Spain,"On first take, this smells like prunes, with little vitality. In the mouth, however, there's more pulse than the nose indicates, as tomato-like acidity drives the palate toward a mix of cherry tomato, red plum and oak flavors. A fresh but mild tasting finish ensures that this blend can accompany food without a problem.",Edición Limitada,87,15,Northern Spain,Navarra,Principe de Viana 2009 Edicion Limitada Red (Navarra),Red Blend,Príncipe de Viana,2009,"Navarra,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.54084,0.031656,1176,54,13.5,750,Red,Sybarite Global LLC
United States of America,"Spicy and juicy, this majority Cabernet also contains Merlot, Petit Verdot and Ruby Cabernet, plus a microscopic amount of mixed reds. Aged in American oak, it has soft tannins and flavors of mocha and blackberry, suiting it for many occasions.",,87,19,California,Sonoma County,Sebastiani 2012 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Sebastiani,2012,"Sonoma County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.51108,-122.847339,27,40,13.5,750,Red,not_imported
New Zealand,"This wine does a nice job balancing its tropical fruit aromas and flavors with leafy, green notes. Ripe nectarine and grapefruit lie at the core, while herbal flourishes garnish the nose and finish.",,90,15,Marlborough,,Savee Sea 2009 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Saveé Sea,2009,"Marlborough,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-41.474475,173.833026,44,33,13.5,750,White,RO Imports LLC
United States of America,"This Amador Zin has Lodi producer Michael David's signature bacon and oak, its 17 months in American oak having no place to hide. The wine's blackberry fruit tastes full, its tannins chewy. High-alcohol California mountain Zin at its most intense concentration.",Gluttony Old Vine Zinfandel,85,59,California,Amador County,Michael David 2009 Gluttony Old Vine Zinfandel Zinfandel (Amador County),Zinfandel,Michael David,2009,"Amador County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.449089,-120.591102,829,41,16,750,Red,not_imported
Australia,"Full bodied, lush and slightly liquorous in style, the 2008 Footbolt is also packed with peppery, slightly herbal blackberry fruit. There's also a hint of menthol. Drink it over the next 12 months.",The Footbolt,87,19,South Australia,McLaren Vale,D'Arenberg 2008 The Footbolt Shiraz (McLaren Vale),Shiraz,D'Arenberg,2008,"McLaren Vale,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-35.217262,138.5417,62,33,14.5,750,Red,Old Bridge Cellars
Spain,"Apple and melon aromas are mild, straightforward and devoid of oak. A chunky melony palate doesn't have much stuffing, while this tastes of mild peach, papaya and other tropical fruits. Overall, this is inoffensive but hollow.",3055,84,15,Catalonia,Penedès,Jean Leon 2014 3055 Chardonnay (Penedes),Chardonnay,Jean León,2014,"Penedès,Catalonia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,39.78373,-100.445882,833,36,13,750,White,Ste. Michelle Wine Estates
United States of America,"Heady freesia and tangerine zest perfume this fresh, lemony Grüner Veltliner. The palate highlights bright grapefruit and lemon flavors nuanced with pollen and smoked nuts. A brisk, deftly balanced dry white to enjoy now through 2019.",,87,15,New York,Seneca Lake,Fulkerson 2016 Gruner Veltliner (Seneca Lake),Grüner Veltliner,Fulkerson,2016,"Seneca Lake,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,36,12,750,White,not_imported
United States of America,"All varietal from up-and-coming Scooteney Flats Vineyard, this wine displays aromas of fresh herbs, dark raspberries and barrel spices. There's no lack of richness to the fruit flavors but the chalky tannins need time to stitch together.",,88,34,Washington,Red Mountain,Foundry Vineyards 2012 Merlot (Red Mountain),Merlot,Foundry Vineyards,2012,"Red Mountain,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,48.9454,-122.106816,691,37,15.02,750,Red,not_imported
Chile,"For South American dessert wine, this is at the top of the class. The nose is light and offers nectarine, tangerine and peach aromas, while the mouthfeel is honeyed and plump, with orange marmalade, cinnamon and nutmeg flavors. The finish is long and complex, and a touch soft in feel.",Late Harvest,90,18,Casablanca Valley,,Errazuriz 2011 Late Harvest Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Errazuriz,2011,"Casablanca Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-33.320586,-71.410076,268,50,12.5,750,Dessert,Vintus LLC
France,"The Savagnin grape is rarely found outside the Jura. Here it gives an unusual wine, like a dry Sherry, yeasty and with intense acidity to go with the dry, tangy texture. Drink now.",,87,52,France Other,Côtes du Jura,Domaine de Savagny 2011 Savagnin (Cotes du Jura),Savagnin,Domaine de Savagny,2011,"Côtes du Jura,France Other,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,39.78373,-100.445882,833,33,13.5,750,White,Advantage International
United States of America,"Brûléed banana and peach lead the aromatics and flavors of this French oak-aged Chardonnay blended with 15% Petit Manseng. A rich, creamy palate is balanced by a tart pineapple and lemon-curd vein, moving to a toasted vanilla finish.",Reserve,88,38,Virginia,Virginia,Early Mountain 2013 Reserve Chardonnay (Virginia),Chardonnay,Early Mountain,2013,"Virginia,Virginia,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,37.540329,-77.439526,51,38,12.5,750,White,not_imported
United States of America,"Tastes sweet, almost like a dessert wine. Brings to mind a tart with smoky dough, pineapple, mascarpone cheese, apricot cream and orange liqueur flavors. Exotic, and probably better as a cocktail sipper than paired with food.",Ritchie Vineyard,87,45,California,Russian River Valley,Tandem 2006 Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,Tandem,2006,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,36,14.3,750,White,not_imported
Argentina,"Ripe blackberry and cassis aromas are toasty at first, then charred as this breathes. A big grabby palate is muscled up but welcoming. Toasty blackberry and cassis flavors remain charred on a loaded lengthy finish. This is Malbec and Petit Verdot fermented and aged together. Drink through 2022.",Co Fermented,91,49,Mendoza Province,Valle de Uco,Puramun 2013 Co Fermented Red (Valle de Uco),Malbec-Petit Verdot,Puramun,2013,"Valle de Uco,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,39.78373,-100.445882,833,48,14.5,750,Red,Vino Del Sol
United States of America,"Defines the Paso Robles style of enormously ripe fruit and softness. Incredibly rich in brown sugar, blackberry jam, chocolate and smoky oak flavors, it's not particularly subtle, but delicious now.",Viking Estate Vineyard Reserve,88,75,California,Paso Robles,Adelaida 2009 Viking Estate Vineyard Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Adelaida,2009,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.626765,-120.691246,231,30,14.9,750,Red,not_imported
